type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,0.0009447683114558458,-0.0008365109097212553,0.0005086120218038559,0.0006907680653966963,0.0009028743952512741,7.89834521128796e-05,0.0019707814790308475,0.002567326184362173,0.001000863267108798,-0.0012312430189922452,0.0035388413816690445,-0.0037916284054517746,0.003534142393618822,-0.0007295027608051896,0.0037481728941202164,0.0033467435277998447,-0.001163514913059771,0.0026771347038447857,0.0015919458819553256,-0.0032409806735813618,-0.002027361886575818,-0.001953379949554801,0.00124487210996449,-0.00227948697283864,-0.0010777366114780307,0.0011363441590219736,0.003552881069481373,0.0003079420712310821,-0.0025366265326738358,-0.0011502563720569015,-0.0014730127295479178,0.0012031778460368514,0.00321399443782866,-0.003405369818210602,-0.002256496576592326,0.0009446036419831216,-0.0035034778993576765,-0.0013599870726466179,-0.00242756400257349,0.0010156549979001284,-0.0031953207217156887,-0.0013411181280389428,0.0012956185964867473,0.0033283440861850977,0.0034426201600581408,-0.0010959765641018748,0.00017123535508289933,-0.003231905633583665,0.0010725206229835749,0.0033997581340372562,-0.0002289251278853044,0.00039749505231156945,-0.002798781031742692,-0.0013591487659141421,0.0029750706162303686,-0.0009061442106030881,0.0012682763626798987,0.0016976798651739955,0.0012910220539197326,-0.0034047418739646673,-0.00234259688295424,-0.0017077751690521836,0.00041945010889321566,0.002634091768413782,-0.0006603554938919842,-0.0004664021253120154,-0.003283546306192875,-0.000193011510418728,0.0027381926774978638,-0.0013967235572636127,-0.002948607550933957,-0.00032951158937066793,-0.0006892674718983471,0.0020313099958002567,-0.0009482758468948305,-0.003305137390270829,0.001989067764952779,-0.0016654456267133355,0.0028496088925749063,0.0025084635708481073,0.0020412723533809185,0.00324811483733356,0.0037196786142885685,-0.003403969807550311,-0.0018709567375481129,0.00018482808081898838,-0.0034111582208424807,-0.0015940269222483039,0.0036735713947564363,0.0012459491845220327,-0.0014769622357562184,0.0031486554071307182,0.001977372681722045,-0.0007373742992058396,-0.002372909802943468,0.0007914088200777769,0.0017830724827945232,0.0023230193182826042,0.0030583366751670837,-0.0010669681942090392,-0.0021343715488910675,-0.0021286378614604473,0.003878151997923851,-0.0024393866769969463,-0.001315935282036662,-0.0023643102031201124,-0.0025259729009121656,0.0008949796902015805,0.002445925259962678,0.0012874352978542447,0.002869431395083666,-0.0016578068025410175,-0.003613892011344433,-0.0005713923601433635,-0.00028315396048128605,0.0030551154632121325,0.00030253868317231536,0.0004773919063154608,0.001965847797691822,-0.0018858244875445962,-0.0014191549271345139,-0.0038123049307614565,0.00039865271537564695,0.0007756778504699469,0.0019333332311362028,0.0013361776946112514,0.003121894085779786,0.003406822681427002
1,0.0003428467607591301,0.0036735120229423046,-0.002627863548696041,-0.0005124141462147236,0.0030606493819504976,-0.0026202239096164703,-0.00311361625790596,0.0005976937827654183,-0.0030207340605556965,0.0013993728207424283,-0.002883141627535224,-0.000841600529383868,0.0023190223146229982,0.0005326491082087159,-0.0030660810880362988,-0.0010405133944004774,0.0017417020862922072,-0.0019130079308524728,-0.0034382229205220938,0.0005135126993991435,0.00044760890887118876,-0.00252759107388556,0.0010002540657296777,0.002798959147185087,0.002123070415109396,-0.00010270896746078506,0.0023700858000665903,0.001301123178564012,0.0011345836101099849,0.00032967826700769365,-0.0036620234604924917,-0.0011056532384827733,0.0008027449366636574,-0.0017769194673746824,0.0016670121112838387,-0.0008976354147307575,-0.003161659697070718,0.0014021118404343724,2.9252460080897436e-05,0.0036925021559000015,0.0013370767701417208,-0.0038504013791680336,0.0031058264430612326,-0.00238719186745584,4.596078360918909e-05,0.003900871379300952,0.0015939784934744239,0.0022840790916234255,0.0016122082015499473,-0.00365166156552732,0.003302949946373701,0.0008815114269964397,-0.0021107459906488657,0.0008020192035473883,0.0035738484002649784,-0.0035317419096827507,0.0018455592216923833,-0.0013536872575059533,0.0013973460299894214,-0.0020506978034973145,0.0006373989162966609,0.0010980975348502398,-0.0031300189439207315,-0.0006576756131835282,-0.002857344225049019,-0.0032975953072309494,0.0017146322643384337,0.002931256080046296,-0.002914812183007598,0.00263400562107563,0.001812897389754653,0.003807943547144532,-0.0019538619089871645,-0.0022204481065273285,-0.0016227331943809986,-0.00027821247931569815,-0.001063765026628971,0.0006063383189029992,0.0027393207419663668,-0.002968435874208808,-0.0010161594254896045,0.0025999806821346283,-0.003824220271781087,0.0024347819853574038,0.002162178512662649,-0.0009725081617943943,-0.0021073867101222277,0.0035697901621460915,0.003098072251304984,0.0015198768815025687,0.0012025001924484968,0.0006440093857236207,-0.0010462896898388863,0.0016662750858813524,-0.003529453417286277,0.0029569894541054964,-0.0030048603657633066,-0.0015546317445114255,0.003180994652211666,0.0013543779496103525,0.00220318092033267,-0.003105239709839225,-0.0007937551126815379,-0.0008994935778900981,0.0005123883602209389,-0.0031905858777463436,0.0009764496353454888,-0.003380060428753495,-0.0035668720956891775,-3.646609911811538e-05,0.0010462143691256642,0.0016985601978376508,0.000659738841932267,-0.0023620231077075005,-0.002313360571861267,0.0011622518068179488,-0.0022964340168982744,0.0012481873854994774,0.0038199806585907936,0.002374613657593727,-0.003505515865981579,0.0009294188348576427,0.0006480938754975796,-0.00047242475557141006,0.0012223283993080258,0.0017429402796551585,-0.0011374534806236625,-0.0024218233302235603
2,-0.0007732236408628523,0.0011655514826998115,-0.0003445428446866572,-0.0012848494807258248,0.0011063816491514444,0.0021350050810724497,-0.0020422819070518017,-0.00036137213464826345,-0.0036432447377592325,-6.619141640840098e-05,-0.0024516538251191378,0.003606118494644761,-0.0034723994322121143,-0.00379325938411057,-0.002917313715443015,0.0012381277047097683,-0.0021621070336550474,0.0005419284570962191,0.0002215405402239412,0.0018238886259496212,0.0013706375611945987,-0.002747673774138093,-0.0023552626371383667,-0.001142580877058208,-0.002024440560489893,-0.0008868511649779975,0.001021173200570047,-0.0034178541973233223,-0.0030953274108469486,-0.00025709898909553885,0.0016355226980522275,0.0037706748116761446,0.002928400645032525,0.0019663539715111256,0.000415567250456661,-0.0016695942031219602,0.0009946638019755483,-2.0463940018089488e-05,0.00014050207391846925,-0.00015453026571776718,-0.00034754278021864593,-0.00387383415363729,-0.0006031438824720681,-0.003683381248265505,0.003480808809399605,0.0001167382433777675,-0.0018028683261945844,-0.0013969746651127934,-0.0032169760670512915,-0.001812104950658977,-0.0027454658411443233,-0.003616429166868329,0.0026434198953211308,-0.0005222870386205614,0.0035537134390324354,0.001609747065231204,-0.0025574469473212957,-0.0030238304752856493,0.0006548771634697914,-0.0012663742527365685,-0.0003366303280927241,-0.002596689620986581,-0.0014543506549671292,-0.0029007887933403254,-0.0032639107666909695,0.0003032139502465725,0.00245099188759923,0.0034001003950834274,-0.0009648606646806002,0.0032787888776510954,-0.0003750499163288623,0.0015213792212307453,-0.0007970398291945457,0.0013261083513498306,0.001880020136013627,-0.00015031224756967276,0.00042246285011060536,-0.0001494505995651707,-0.0006252566818147898,0.0010436724405735731,-0.00177872518543154,-0.0018773158080875874,0.0020385421812534332,0.0006127522210590541,0.0030223815701901913,0.0026823750231415033,0.0022311429493129253,-0.0020237320568412542,0.0018558038864284754,0.0016099639469757676,0.0024493944365531206,0.0014983819564804435,0.002944238716736436,0.0009707944700494409,-0.0002644848427735269,-0.0006922425236552954,0.001912589417770505,0.002428886480629444,-0.0019350653747096658,-0.0004468269180506468,0.0012268231948837638,-0.00018764993001241237,0.0005570787470787764,0.0032900867518037558,0.0015425769379362464,0.0029572504572570324,-0.00140473956707865,-0.0030076769180595875,-0.0005459189997054636,0.0033828027080744505,-0.0011573141673579812,-0.0013059665216132998,0.0025624313857406378,-0.00032329055829904974,-0.00039227661909535527,0.00017537518579047173,0.003430740674957633,0.0033499696291983128,0.0010307420743629336,0.002372901886701584,-0.002534852595999837,0.0033495763782411814,-0.0036290017887949944,0.003055900102481246,0.00321561424061656,-0.0018634697189554572,0.0037953262217342854,-0.00046814020606689155
3,-0.002331448718905449,0.0033965196926146746,-0.0024965526536107063,-0.0018045719480141997,-0.003547412110492587,-5.3288971685105935e-05,-0.001797560602426529,-0.0021480272989720106,-0.0032411515712738037,-0.0017037874786183238,-0.0036613617558032274,-0.0004305435868445784,-0.0015061531448736787,-0.0021104433108121157,0.0002547833719290793,0.0020406413823366165,-0.0006201358628459275,0.00188189756590873,0.003093670355156064,-0.003055936424061656,0.0013764449395239353,-0.0031768810003995895,0.001457876875065267,0.0009229863062500954,0.0024363850243389606,-0.0011751787969842553,-0.0018924783216789365,-0.0017369526904076338,-0.002159135416150093,0.002474017208442092,-0.0028330902568995953,-0.0017302631167694926,0.0011321926722303033,0.002563642105087638,0.0011796068865805864,0.0002746596001088619,-0.00034781318390741944,-0.003452141536399722,0.0018472718074917793,0.0003523408668115735,-0.0019767191261053085,-0.0019047195091843605,0.0018868157640099525,-0.0023746141232550144,-0.0005613737157545984,-0.0006907604984007776,-0.0019181401003152132,0.00036004462162964046,-0.0007339744479395449,-4.0639148210175335e-05,0.0035030972212553024,-0.0014292658306658268,-0.0017395057948306203,-0.002665039384737611,0.0013401252217590809,0.0035652255173772573,-0.0037165977992117405,-0.0025160142686218023,0.002537874737754464,-0.0025336137041449547,-0.0022127621341496706,0.0010108452988788486,-0.003193671815097332,0.0006116803269833326,0.00041260523721575737,-0.0005824808613397181,0.002911635208874941,-0.0022282623685896397,-0.003014781977981329,-0.0023249411024153233,0.0031134358141571283,-0.0006782747223041952,0.001835731090977788,-0.0035246131010353565,-0.002519868779927492,0.0023329949472099543,-0.00026191395591013134,-0.0008573405211791396,0.00291319633834064,-0.0033480997662991285,0.0031537178438156843,-0.0025014348793774843,-0.003420001594349742,0.0003807285684160888,0.0004927393165417016,-0.0019711325876414776,0.0008372728480026126,-0.0006809793994762003,0.002702639903873205,-0.0016014971770346165,-0.0027982941828668118,-0.0026783798821270466,0.002415801864117384,-0.0016462670173496008,0.0012389462208375335,-9.582865459378809e-05,0.003215119941160083,0.0007859997567720711,-0.003776474157348275,-0.0032731397077441216,0.0013228466268628836,0.0008222737233154476,-0.0037845394108444452,0.0025133199524134398,0.001951897982507944,0.0001836906303651631,0.0003985116200055927,0.0035616897512227297,0.003809246001765132,-0.0027432560455054045,0.002549320226535201,0.0034848018549382687,-0.0015723730903118849,0.002150563756003976,0.0032129050232470036,-0.003902024356648326,-0.002132045105099678,0.0029236488044261932,-0.0009867839980870485,0.0018954443512484431,-0.0008821895462460816,0.001091459416784346,-0.0033148874063044786,-0.0018333749612793326,-0.0011854807380586863,-0.002283412264660001,-3.0855200748192146e-05,0.0029324134811758995
4,0.0026123826391994953,0.003358624642714858,-0.0010359385050833225,0.0003101016045548022,0.002103080740198493,0.003052215790376067,0.0016181112732738256,-0.0019080770434811711,-0.003830031491816044,-0.003469852963462472,-0.0028932150453329086,0.0008677794830873609,-0.0036462710704654455,-0.0037118177860975266,0.00116142095066607,-0.0018740353407338262,-0.0006838199333287776,0.0028361883014440536,0.0007356918067671359,0.0005711564444936812,-0.0025787262711673975,0.0009766987059265375,0.0006673504249192774,0.0001420727785443887,-0.0025454626884311438,-0.002435422968119383,-0.00026991270715370774,7.201464177342132e-05,-0.0007775002159178257,0.000554171740077436,0.002132172929123044,-8.110487397061661e-05,-0.0037682540714740753,0.00011716446169884875,-0.0004681991704273969,-0.003274753224104643,0.002278530038893223,6.984664651099592e-05,-0.003437912790104747,0.0023734637070447206,-0.0013430744875222445,-0.001296955975703895,0.0002813338069245219,0.0015413627261295915,-0.0022775714751333,0.002503259340301156,0.0017398456111550331,0.0026377015747129917,0.0011166289914399385,-0.001992257311940193,0.0025584837421774864,-0.0033734578173607588,0.0001555838098283857,-0.002936252159997821,0.0006225868710316718,0.00022128695854917169,-0.0010372940450906754,-0.0011766768293455243,0.0005928730824962258,-0.0008223441545851529,-0.001834514201618731,0.002374044619500637,-0.001077234628610313,-0.00037777330726385117,0.0016673741629347205,-0.002055149059742689,0.002743571065366268,-0.0033723399974405766,0.0013440706534311175,-0.00017358209879603237,-0.0009578691096976399,0.0016354384133592248,-0.00012568250531330705,0.0012862805742770433,-0.0007980657392181456,0.0010286440374329686,-0.0029532986227422953,0.0003395800304133445,-0.0002280556655023247,-0.001175119774416089,-1.7176882465719245e-05,4.067071131430566e-05,0.00018910977814812213,0.0022067760583013296,0.001950079225935042,-0.0030262134969234467,-0.0023024354595690966,-0.0006057237042114139,-0.0035436181351542473,-0.0010241189738735557,0.002809039782732725,-0.002350469818338752,-0.0006038186838850379,-0.001679186592809856,0.003281221492215991,-0.00018809581524692476,-0.0017406789120286703,-0.0032119599636644125,0.0011199194705113769,-0.0031899474561214447,0.002344775479286909,0.00011004306725226343,-0.003739283187314868,0.002748364582657814,-0.003615796100348234,0.003350307699292898,0.001439681276679039,-0.0018541995668783784,-0.003660693531855941,-0.002386289183050394,-0.003094428451731801,-0.002782728523015976,2.0979632608941756e-05,0.001527034561149776,-0.002526426687836647,0.001353106345050037,0.003242106642574072,0.0009205221431329846,-0.002594111952930689,0.003032451728358865,0.003497170051559806,-0.0034216034691780806,0.0010445854859426618,0.00048071518540382385,-0.0020418744534254074,-0.0028884708881378174,-0.0032923901453614235,0.003831111826002598
5,-0.0036557503044605255,-0.0007714632083661854,0.0007266397587954998,-0.0009754668571986258,-0.0018520044395700097,-0.0005201648455113173,0.001528463908471167,-0.0025188508443534374,0.00283505255356431,0.001557804993353784,0.0038931285962462425,0.0034778928384184837,-0.0013862644555047154,-0.00019431258260738105,0.0011944889556616545,0.0002258496533613652,-0.0033536944538354874,0.0013474783627316356,0.0013276714598760009,-0.0033186376094818115,-0.00032756951986812055,-0.0025990470312535763,0.0017690669046714902,-0.0035463517997413874,0.0010232782224193215,-0.002863857662305236,-0.001730200252495706,0.0035432272125035524,-0.0022355394903570414,0.003187640570104122,0.0021132221445441246,0.002472150372341275,-3.25306027662009e-05,0.002801998984068632,-0.0017482084222137928,0.0006229202263057232,0.0028958215843886137,0.002650097943842411,0.002577128354460001,-0.0008757454925216734,-0.001690078410319984,-0.001423159264959395,0.001787265995517373,-0.002809712430462241,-0.0012389820767566562,-0.0008772378787398338,-0.003551257774233818,-3.7586338294204324e-05,0.0015239906497299671,0.0018935657572001219,0.001358486944809556,-0.003267904743552208,-0.002735945861786604,0.0034880046732723713,0.002983579644933343,-0.0038012880831956863,-0.0038172854110598564,-0.003079324960708618,0.0029599673580378294,-0.0033417397644370794,-0.0038688157219439745,0.0030857014935463667,-0.0015547953080385923,0.0004833701823372394,-0.003520986530929804,0.002691081492230296,0.0008970220806077123,0.0036103418096899986,0.0010964598041027784,-0.0010260100243613124,-0.0001908497215481475,-0.0006879243883304298,-0.0034938552416861057,-0.0036391401663422585,-0.001197420759126544,-0.0036949841305613518,-0.002893500728532672,0.0006128294044174254,-0.00039867960731498897,-0.00128766312263906,-0.003849975997582078,0.0018040286377072334,-0.002860933542251587,-0.0008296662126667798,0.0034469999372959137,0.0010904362425208092,0.00035546228173188865,-0.000325323868310079,0.0023918654769659042,-0.0022265370935201645,0.003300839802250266,-0.0017936674412339926,-8.600948058301583e-05,0.0028916599694639444,0.0026965299621224403,0.00011117425310658291,-0.0025537151377648115,0.003841699566692114,0.0009789116447791457,0.0008060118416324258,-0.0037306675221771,0.000465434102807194,-4.181106487521902e-05,0.0012554996646940708,-0.003540452104061842,0.002281459281221032,-0.0013998402282595634,0.003494389122352004,-0.002030319068580866,-0.0001106285271816887,0.00241699512116611,-0.0037776867393404245,-0.000531391182448715,-0.0010751929366961122,0.0001250099012395367,-0.0006660144426859915,0.001641255570575595,0.0005222068866714835,-0.002016525249928236,-0.0030556677374988794,0.0021288092248141766,-0.003533904207870364,0.0012202159268781543,-0.0011017302749678493,-0.00038362943450920284,0.0019714562222361565,0.0030020514968782663,-0.002353175776079297
